,localité,adresse,type de stationnement,couvert o/n,type de couverture,accès,condition d'accès,sécurisé o/n,type de sécurité,matière,nombre de places,nombre de supports,photo,nom de rue,année de d'installation,gestionnaire,borne de recharge,matériel de réparation,code ins de la localité,référence icar de la rue,identifiant,geo point,geo shape
0,belgrade,ecole communale primaire - rue des tautis 7,rack,oui,auvent,privé gratuit,,oui,enceinte l'école,acier galvanisé,12,12,,rue des tautîs,,ville de namur,non,non,92010.0,7754122.0,3,"50.4712861231, 4.8248565701","{""coordinates"": [4.8248565701, 50.4712861231], ""type"": ""point""}"
1,belgrade,ecole communale maternelle la boverie - rue jean delhaye 55,rack,oui,auvent,privé gratuit,,oui,enceinte l'école,acier galvanisé,6,6,,avenue jean delhaye,,ville de namur,non,non,92010.0,7753117.0,4,"50.4626180194, 4.8272938833","{""coordinates"": [4.8272938833, 50.4626180194], ""type"": ""point""}"
2,beez,hall sportif - av reine elisabeth 2,rack + arceau,oui,auvent,,,non,,acier galvanisé + acier ral 7016,12,9,,avenue reine elisabeth,,ville de namur,non,non,92009.0,7753127.0,8,"50.4670654989, 4.9186494893","{""coordinates"": [4.9186494893, 50.4670654989], ""type"": ""point""}"
3,namur,parf entrée,arceau,non,,,,non,,acier ral 7016,6,3,,,,ville de namur,non,non,92094.0,,13,"50.4573725507, 4.8524486675","{""coordinates"": [4.8524486675, 50.4573725507], ""type"": ""point""}"
4,namur,espace st-pierre - médiane,arceau,non,,,,non,,acier ral 7016,12,6,,route merveilleuse,,ville de namur,non,non,92094.0,7753590.0,15,"50.4604282925, 4.8640191343","{""coordinates"": [4.8640191343, 50.4604282925], ""type"": ""point""}"
5,jambes,bd de la meuse (capitainerie),arceau,non,,,,non,,acier ral 7016,6,3,,boulevard de la meuse,,ville de namur,non,non,92067.0,7753150.0,26,"50.4553549276, 4.8644285237","{""coordinates"": [4.8644285237, 50.4553549276], ""type"": ""point""}"
6,jambes,avenue bovesse srwt cambio,arceau,non,,,,non,,inox,4,2,,avenue gouverneur bovesse,,ville de namur,non,non,92067.0,7753115.0,27,"50.4594410491, 4.8755868285","{""coordinates"": [4.8755868285, 50.4594410491], ""type"": ""point""}"
7,jambes,parc astrid - jambes 2000 (entrée espace f. laloux),arceau,oui,auvent,,,non,,acier ral 7016,6,3,,parc astrid,,ville de namur,non,non,92067.0,7753458.0,28,"50.4536740615, 4.8721847131","{""coordinates"": [4.8721847131, 50.4536740615], ""type"": ""point""}"
8,jambes,parc astrid (pleine de jeux),arceau,non,,,,non,,acier ral 7016,6,3,,rue de géronsart,,ville de namur,non,non,92067.0,7753719.0,29,"50.4535908272, 4.8712879369","{""coordinates"": [4.8712879369, 50.4535908272], ""type"": ""point""}"
9,jambes,avenue jean materne (oreille arrêt bus parc astrid),arceau,non,,,,non,,acier ral 7016,4,2,,avenue du bourgmestre jean materne,,ville de namur,non,non,92067.0,7753098.0,31,"50.4557636727, 4.8730662522","{""coordinates"": [4.8730662522, 50.4557636727], ""type"": ""point""}"
10,jambes,avenue jean materne (# van opré),arceau,non,,,,non,,acier ral 7016,4,2,,avenue du bourgmestre jean materne,,ville de namur,non,non,92067.0,7753098.0,32,"50.4571122825, 4.8706083564","{""coordinates"": [4.8706083564, 50.4571122825], ""type"": ""point""}"
11,jambes,avenue jean materne 130 (hair care),arceau,non,,,,non,,acier ral 7016,4,2,,avenue du bourgmestre jean materne,,ville de namur,non,non,92067.0,7753098.0,35,"50.4564113344, 4.8716176998","{""coordinates"": [4.8716176998, 50.4564113344], ""type"": ""point""}"
12,jambes,avenue jean-materne (entrée parc),arceau,non,,,,non,,inox,6,3,,avenue du bourgmestre jean materne,,ville de namur,non,non,92067.0,7753098.0,36,"50.4557555061, 4.8728971746","{""coordinates"": [4.8728971746, 50.4557555061], ""type"": ""point""}"
13,jambes,rue charles lamquet 135 (maison des jeunes basse enhaive),arceau,non,,,,non,,acier ral 7016,6,3,,rue charles lamquet,,ville de namur,non,non,92067.0,7753674.0,40,"50.4650738071, 4.8848689532","{""coordinates"": [4.8848689532, 50.4650738071], ""type"": ""point""}"
14,jambes,place joséphine charlotte (comptoir des vins),arceau,non,,,,non,,acier ral 7016,4,2,,avenue prince de liège,,ville de namur,non,non,92067.0,7753125.0,42,"50.4610257208, 4.8775796579","{""coordinates"": [4.8775796579, 50.4610257208], ""type"": ""point""}"
15,jambes,multisport agora - rue charles lamquet,arceau,non,,,,non,,acier ral 7016,8,4,,rue charles lamquet,,ville de namur,non,non,92067.0,7753674.0,48,"50.4645481189, 4.8853374692","{""coordinates"": [4.8853374692, 50.4645481189], ""type"": ""point""}"
16,jambes,château d'amée - av du parc d'amée 90,arceau,non,,,,non,,acier ral 7016,12,6,,avenue parc d'amée,,ville de namur,non,non,92067.0,7753124.0,51,"50.4388325307, 4.8644560485","{""coordinates"": [4.8644560485, 50.4388325307], ""type"": ""point""}"
